,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9385,0.8777,0.9547
1,wiscosin,20,0.8858,0.7503,0.9334
2,wiscosin,40,0.849,0.624,0.9534
3,wiscosin,60,0.8068,0.5092,0.9485
4,pima_diabetes,10,0.7605,0.5263,0.7172
5,pima_diabetes,20,0.7305,0.4443,0.6714
6,pima_diabetes,40,0.7267,0.4479,0.6852
7,pima_diabetes,60,0.6835,0.2685,0.6104
8,bc_coimbra,10,0.6721,0.5964,0.7062
9,bc_coimbra,20,0.7315,0.6109,0.7645
10,bc_coimbra,40,0.6301,0.5673,0.5808
11,bc_coimbra,60,0.5511,0.5345,0.5567
12,indian_liver,10,0.6978,0.8818,0.7443
13,indian_liver,20,0.6995,0.8962,0.7392
14,indian_liver,40,0.6875,0.906,0.7245
15,indian_liver,60,0.7081,0.954,0.7253
16,parkinsons,10,0.7692,0.9248,0.8035
17,parkinsons,20,0.7744,0.932,0.8084
18,parkinsons,40,0.759,0.8989,0.8126
19,parkinsons,60,0.8,0.9529,0.8188
20,mammographic_masses,10,0.794,0.8659,0.7502
21,mammographic_masses,20,0.7482,0.8708,0.692
22,mammographic_masses,40,0.7036,0.8086,0.6743
23,mammographic_masses,60,0.7048,0.8142,0.6727
24,hcv_egyptian,10,0.2542,0.2542,0.2542
25,hcv_egyptian,20,0.2448,0.2448,0.2448
26,hcv_egyptian,40,0.2361,0.2361,0.2361
27,hcv_egyptian,60,0.2549,0.2549,0.2549
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8489,0.0143,0.0667
31,thoracic_surgey,60,0.8489,0.0,0.0
