,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9455,0.9299,0.9258
1,wiscosin,20,0.8541,0.7936,0.8479
2,wiscosin,40,0.7997,0.7134,0.8236
3,wiscosin,60,0.7521,0.4393,0.9182
4,pima_diabetes,10,0.7462,0.5,0.7048
5,pima_diabetes,20,0.7487,0.4666,0.7273
6,pima_diabetes,40,0.694,0.2652,0.6487
7,pima_diabetes,60,0.7031,0.2384,0.7531
8,bc_coimbra,10,0.6467,0.5,0.7179
9,bc_coimbra,20,0.638,0.5182,0.6984
10,bc_coimbra,40,0.5685,0.5164,0.6402
11,bc_coimbra,60,0.5594,0.3273,0.2182
12,indian_liver,10,0.7047,0.9035,0.7423
13,indian_liver,20,0.7012,0.9228,0.7307
14,indian_liver,40,0.7306,0.959,0.7415
15,indian_liver,60,0.7047,0.9518,0.7232
16,parkinsons,10,0.7692,0.9115,0.8145
17,parkinsons,20,0.7897,0.9322,0.8235
18,parkinsons,40,0.7436,0.9189,0.7821
19,parkinsons,60,0.7641,0.9724,0.7747
20,mammographic_masses,10,0.7747,0.8234,0.7462
21,mammographic_masses,20,0.741,0.7365,0.7424
22,mammographic_masses,40,0.6759,0.6816,0.6942
23,mammographic_masses,60,0.5964,0.5098,0.675
24,hcv_egyptian,10,0.2534,0.2534,0.2534
25,hcv_egyptian,20,0.2347,0.2347,0.2347
26,hcv_egyptian,40,0.2744,0.2744,0.2744
27,hcv_egyptian,60,0.2397,0.2397,0.2397
28,thoracic_surgey,10,0.8489,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
