,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9403,0.9155,0.926
1,wiscosin,20,0.9367,0.9061,0.9276
2,wiscosin,40,0.935,0.8825,0.9427
3,wiscosin,60,0.3971,0.9343,0.3759
4,pima_diabetes,10,0.7397,0.5189,0.6687
5,pima_diabetes,20,0.7409,0.534,0.6623
6,pima_diabetes,40,0.694,0.4781,0.5707
7,pima_diabetes,60,0.7045,0.4554,0.6022
8,bc_coimbra,10,0.6457,0.4982,0.7234
9,bc_coimbra,20,0.6029,0.5127,0.6635
10,bc_coimbra,40,0.4757,0.0982,0.5167
11,bc_coimbra,60,0.5257,0.1945,0.5622
12,indian_liver,10,0.703,0.877,0.7495
13,indian_liver,20,0.696,0.93,0.7237
14,indian_liver,40,0.6823,0.9373,0.7101
15,indian_liver,60,0.7012,0.9783,0.7118
16,parkinsons,10,0.7744,0.9529,0.7936
17,parkinsons,20,0.7436,0.9464,0.7692
18,parkinsons,40,0.7538,1.0,0.7538
19,parkinsons,60,0.759,1.0,0.7578
20,mammographic_masses,10,0.8133,0.8634,0.7794
21,mammographic_masses,20,0.794,0.8559,0.7535
22,mammographic_masses,40,0.7904,0.8585,0.748
23,mammographic_masses,60,0.7108,0.687,0.7116
24,hcv_egyptian,10,0.2462,0.2462,0.2462
25,hcv_egyptian,20,0.2534,0.2534,0.2534
26,hcv_egyptian,40,0.2491,0.2491,0.2491
27,hcv_egyptian,60,0.2332,0.2332,0.2332
28,thoracic_surgey,10,0.8511,0.0429,0.4
29,thoracic_surgey,20,0.8383,0.0286,0.2667
30,thoracic_surgey,40,0.8383,0.0286,0.0667
31,thoracic_surgey,60,0.7787,0.1286,0.1829
