,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9596,0.9392,0.953
1,wiscosin,20,0.9438,0.9107,0.9379
2,wiscosin,40,0.9456,0.9061,0.9472
3,wiscosin,60,0.9332,0.8781,0.9404
4,pima_diabetes,10,0.7696,0.5635,0.7226
5,pima_diabetes,20,0.7552,0.541,0.6956
6,pima_diabetes,40,0.7358,0.5079,0.6579
7,pima_diabetes,60,0.7032,0.4519,0.5999
8,bc_coimbra,10,0.6902,0.5945,0.7138
9,bc_coimbra,20,0.7065,0.6491,0.7342
10,bc_coimbra,40,0.6725,0.5273,0.7298
11,bc_coimbra,60,0.6207,0.4473,0.6367
12,indian_liver,10,0.6995,0.8625,0.7566
13,indian_liver,20,0.6961,0.8529,0.7554
14,indian_liver,40,0.7048,0.8501,0.7678
15,indian_liver,60,0.7168,0.9397,0.7373
16,parkinsons,10,0.7897,0.9182,0.8346
17,parkinsons,20,0.7692,0.8779,0.8402
18,parkinsons,40,0.8103,0.8772,0.8781
19,parkinsons,60,0.7846,0.9115,0.8311
20,mammographic_masses,10,0.7928,0.8361,0.7633
21,mammographic_masses,20,0.8012,0.8214,0.7803
22,mammographic_masses,40,0.7771,0.8163,0.7494
23,mammographic_masses,60,0.794,0.8386,0.7623
24,hcv_egyptian,10,0.2296,0.2296,0.2296
25,hcv_egyptian,20,0.2383,0.2383,0.2383
26,hcv_egyptian,40,0.2549,0.2549,0.2549
27,hcv_egyptian,60,0.2448,0.2448,0.2448
28,thoracic_surgey,10,0.8426,0.0,0.0
29,thoracic_surgey,20,0.8298,0.0,0.0
30,thoracic_surgey,40,0.8404,0.0,0.0
31,thoracic_surgey,60,0.8255,0.0429,0.1333
