,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9297,0.8585,0.9499
1,wiscosin,20,0.9227,0.8115,0.978
2,wiscosin,40,0.8769,0.693,0.9669
3,wiscosin,60,0.8156,0.5292,0.9637
4,pima_diabetes,10,0.7409,0.5075,0.6735
5,pima_diabetes,20,0.737,0.433,0.6999
6,pima_diabetes,40,0.7189,0.415,0.645
7,pima_diabetes,60,0.6927,0.2869,0.6499
8,bc_coimbra,10,0.6728,0.5745,0.7233
9,bc_coimbra,20,0.6384,0.5018,0.6563
10,bc_coimbra,40,0.6388,0.3418,0.6367
11,bc_coimbra,60,0.5601,0.3909,0.7131
12,indian_liver,10,0.6823,0.8698,0.7351
13,indian_liver,20,0.6996,0.8819,0.7456
14,indian_liver,40,0.7133,0.9348,0.736
15,indian_liver,60,0.7047,0.9398,0.7272
16,parkinsons,10,0.7641,0.9182,0.8045
17,parkinsons,20,0.7949,0.9526,0.8175
18,parkinsons,40,0.7846,0.9251,0.8203
19,parkinsons,60,0.759,0.9253,0.792
20,mammographic_masses,10,0.7855,0.8659,0.738
21,mammographic_masses,20,0.7566,0.8608,0.7072
22,mammographic_masses,40,0.694,0.7858,0.6574
23,mammographic_masses,60,0.653,0.7573,0.6324
24,hcv_egyptian,10,0.2361,0.2361,0.2361
25,hcv_egyptian,20,0.2419,0.2419,0.2419
26,hcv_egyptian,40,0.2397,0.2397,0.2397
27,hcv_egyptian,60,0.2563,0.2563,0.2563
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0286,0.3
