,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9314,0.9204,0.905
1,wiscosin,20,0.8453,0.8507,0.8084
2,wiscosin,40,0.8258,0.793,0.8258
3,wiscosin,60,0.6909,0.6043,0.784
4,pima_diabetes,10,0.7552,0.5149,0.7086
5,pima_diabetes,20,0.7487,0.4776,0.7178
6,pima_diabetes,40,0.7057,0.2792,0.6873
7,pima_diabetes,60,0.6589,0.512,0.5654
8,bc_coimbra,10,0.7152,0.5945,0.7902
9,bc_coimbra,20,0.6123,0.5018,0.6741
10,bc_coimbra,40,0.5685,0.3564,0.6567
11,bc_coimbra,60,0.5341,0.3873,0.2934
12,indian_liver,10,0.7099,0.8988,0.7482
13,indian_liver,20,0.7064,0.9012,0.7448
14,indian_liver,40,0.715,0.9517,0.731
15,indian_liver,60,0.7185,0.9831,0.7233
16,parkinsons,10,0.7897,0.9457,0.8128
17,parkinsons,20,0.7744,0.9591,0.7908
18,parkinsons,40,0.7538,0.9386,0.7802
19,parkinsons,60,0.7692,0.9862,0.7715
20,mammographic_masses,10,0.7795,0.8185,0.7552
21,mammographic_masses,20,0.753,0.784,0.736
22,mammographic_masses,40,0.712,0.684,0.7275
23,mammographic_masses,60,0.6614,0.5527,0.7342
24,hcv_egyptian,10,0.2505,0.2505,0.2505
25,hcv_egyptian,20,0.2296,0.2296,0.2296
26,hcv_egyptian,40,0.2368,0.2368,0.2368
27,hcv_egyptian,60,0.2578,0.2578,0.2578
28,thoracic_surgey,10,0.8489,0.0,0.0
29,thoracic_surgey,20,0.8426,0.0,0.0
30,thoracic_surgey,40,0.8532,0.0143,0.2
31,thoracic_surgey,60,0.8511,0.0,0.0
